1-2                    EXTRA CORSA
2-4                    ALT E BOTTONIERA MANUTENZIONE
4-5                    INTER FOSSA
5-6                    ALT CABINA
6-6A                   CEV
6-7                    PARACADUTE
7-8                    PRELIMINARI
8-9                    PORTE CABINA
9-10                   BLOCCHI
CPF-PFD                PRE-FINE CORSA DISCESA
CPF-PFS                PRE-FINE CORSA SALITA
CPF-82                 PONTE ESCLUSIONE PFC
MA                     DEVIATORE MANUTENZIONE
UP-DW                  PULSANTI ISPEZIONE
CE-0, CE-1... SALITA   CHIAMATE ESTERNE SALITA(SU PERIFERICA QUADRO)
CE-0, CE-1... DISCESA  CHIAMATE ESTERNE DISCESA(SU PERIFERICA QUADRO)
CB-0, CB-1... CABINA   CHIAMATE DI CABINA(SU PERIFERICA QUADRO)
GND-FCD                BISTABILE FINE CORSA DISCESA
GND-FCS                BISTABILE FINE CORSA SALITA
GND-ID                 INDUTTORE (NO) CONTEGGIO E FERMATA DISCESA
GND-IS                 INDUTTORE (NO) CONTEGGIO E FERMATA SALITA
GND-CCP                CABINA COMPLETA
GND-PRR                PARTENZA RAPIDA
GND-SVR                CONTATTO SOVRACCARICO
GND-CM1                COSTOLA MOBILE -FOTOCELLULA LATO1
GND-CM2                COSTOLA MOBILE-FOTOCELLULA LATO2
CFC-FA1                CONTATTO FINECORSA APERTURA PORTE LATO 1
CFC-FC1                CONTATTO FINECORSA CHIUSURA PORTE LATO 1
CFC-FA2                CONTATTO FINECORSA APERTURA PORTE LATO 2
CFC-FC2                CONTATTO FINECORSA CHIUSURA PORTE LATO 2
CL-0, CL-1...          SEGNALAZIONE POSIZIONE (SU PERIFERICA QUADRO)
CL-FS                  SEGNALAZIONE FRECCIA SALITA
CL-FD                  SEGNALAZIONE FRECCIA DISCESA
CFX-FDX                PROSSIMA PARTENZA DISCESA
CFX-FSX                PROSSIMA PARTENZA SALITA
CL-SV                  SEGNALAZIONE SOVRACCARICO
CL-GON                 SEGNALAZIONE GONG IN CABINA
PE                     RITORNO PRESENTE
PR+/PR-                PATTINO RETRATTILE
FR+/FR-                FRENO ARGANO
AL1 -AL2               PULSANTE ALLARME
AL2 – AL3              SUONERIA ALLARME
R-S-T                  LINEA TRIFASE
U-V-W                  MOTORE ARGANO ALTA VELOCITÀ
Z-Z                    RESISTENZA FRENATURA ESTERNA
L1-L2                  LINEA 220VAC
L1-L3                  LUCE A TEMPO
